artifact_id,museum_no,designation,publications_key,publications_type,publications_exact_ref,publications_comment,provenience,period,dates,collections,genres,materials,artifact_type,height,thickness,width,weight,elevation,excavation_no,findspot_square,findspot_comments,stratigraphic_level,surface_preservation,condition_description,artifact_preservation,languages,written_in,archive,composite_no,composites,seal_no,seals,accession_no,cdli_comments,artifact_comments,provenience_comments,is_provenience_uncertain,period_comments,is_period_uncertain,artifact_type_comments,is_artifact_type_uncertain,seal_information,is_school_text,alternative_years,external_resources,external_resources_key,genres_comment,genres_uncertain,languages_uncertain,materials_aspect,materials_color,materials_uncertain,retired,has_fragments,is_artifact_fake,redirect_artifact_id,retired_comments
1,"VAT 01533","CDLI Lexical 000002, ex. 065","Englund1993ATU3; Falkenstein1936ATU1","history; history","pl. 11, W 6435,a; 594","; ","Uruk (mod. Warka)","Uruk III (ca. 3200-3000 BC)",00.00.00.00,"Vorderasiatisches Museum, Berlin, Germany",Lexical,clay,tablet,31.0,18.0,61.0,,,"W 06435,a","M XVIII,?","auf Hügeloberfläche in der Nähe des Südbaues",,,,,undetermined,,,,Q000002,,,,,,,0,,0,,0,,0,,"DCCLT; ARMEP","P000001; P000001","Archaic Lu2 A (witness) ",0,0,,,0,0,0,0,,
2,"VAT 15263","CDLI Lexical 000002, ex. 066","Englund1993ATU3; Falkenstein1936ATU1","history; history","pl. 11, W 6435,b; 595","; ","Uruk (mod. Warka)","Uruk III (ca. 3200-3000 BC)",00.00.00.00,"Vorderasiatisches Museum, Berlin, Germany",Lexical,clay,tablet,30.0,13.0,48.0,,,"W 06435,b","M XVIII,?","auf der Hügeloberfläche in der Nähe des Südbaues",,,,,undetermined,,,,Q000002,,,,,,,0,,0,,0,,0,,"DCCLT; ARMEP","P000002; P000002","Archaic Lu2 A (witness) ",0,0,,,0,0,0,0,,
3,"VAT 15253","ATU 3, pl. 081, W 9123,d","Englund1993ATU3; Falkenstein1936ATU1","primary; history","pl. 81, W 9123,d; 539","42x53x19 - Vocabulary 9 - Qa XVI,2, unter der Abgleichung der Schicht III, 1,5 m über der Höhe des Kalksteinsockels (t.a.q. IIIc) - veröffentlicht in: ATU 1, 539 - bereits kommentiert von A. Falkenstein, UVB 3, 12 und ATU 1, S. 43-45.; ","Uruk (mod. Warka)","Uruk IV (ca. 3350-3200 BC)",,"Vorderasiatisches Museum, Berlin, Germany",Vocabularies,clay,tablet,42.0,19.0,53.0,,,"W 09123,d","Qa XVI,2","unter der Abgleichung der Schicht III, 1,5 m über der Höhe des Kalksteinsockels// (t.a.q. IIIc)",,,,,undetermined,,,,,,,,,,,0,,0,,0,,0,,"DCCLT; ARMEP","P000003; P000003","""Archaic Vocabulary (witness) Text category: 15-09; Foreign ID: LVO 9""",0,0,,,0,0,0,0,,
4,"VAT 15168","CDLI Lexical 000002, ex. 051","Englund1993ATU3; Falkenstein1936ATU1","history; history","pl. 9, W 9169,d; 489","; ","Uruk (mod. Warka)","Uruk IV (ca. 3350-3200 BC)",00.00.00.00,"Vorderasiatisches Museum, Berlin, Germany",Lexical,clay,tablet,26.0,23.0,23.0,,,"W 09169,d","Qa XVI,2","unter der Abgleichung der Schicht III, 1,5 m über der Höhe des Kalksteinsockels// (t.a.q. IIIc)",,,,,undetermined,,,,Q000002,,,,,,,0,,0,,0,,0,,"DCCLT; ARMEP","P000004; P000004","Archaic Lu2 A (witness) ",0,0,,,0,0,0,0,,
5,"VAT 15153","CDLI Lexical 000002, ex. 172","Englund1993ATU3; Falkenstein1936ATU1","history; history","pl. 23, W 9206,k; 390","; ","Uruk (mod. Warka)","Uruk IV (ca. 3350-3200 BC)",00.00.00.00,"Vorderasiatisches Museum, Berlin, Germany",Lexical,clay,tablet,29.0,20.0,36.0,,,"W 09206,k","Qa XVI,2","unter der Abgleichung der Schicht III, 1,5 m über der Höhe des Kalksteinsockels// (t.a.q. IIIc)",,,,,undetermined,,,,Q000002,,,,,,,0,,0,,0,,0,,"DCCLT; ARMEP","P000005; P000005","Archaic Lu2 A (witness) ",0,0,,,0,0,0,0,,
6,"VAT 15003","CDLI Lexical 000002, ex. 173","Englund1993ATU3; Falkenstein1936ATU1; Nissen1991FrüheSchrift; sec12; Woods2010writing","history; history; history; history; history","pl. 23, W 9656,h1; 340; p. 153, no. 16.1; ; 074","; ; ; ; ","Uruk (mod. Warka)","Uruk IV (ca. 3350-3200 BC)",00.00.00.00,"Vorderasiatisches Museum, Berlin, Germany",Lexical,clay,tablet,82.0,19.0,62.0,,,"W 09656,h1","Qa XVI,2","unter der Abgleichung der Schicht III, 1,5 m über der Höhe des Kalksteinsockels// (t.a.q. IIIc)",,,,,undetermined,,,,Q000002,,,,,,,0,,0,,0,,0,,"DCCLT; ARMEP","P000006; P000006","Archaic Lu2 A (witness) ",0,0,,,0,0,0,0,,
7,"VAT 15111","CDLI Lexical 000002, ex. 174","Englund1993ATU3; Falkenstein1936ATU1","history; history","pl. 23, W 9656,x; 522","; ","Uruk (mod. Warka)","Uruk IV (ca. 3350-3200 BC)",00.00.00.00,"Vorderasiatisches Museum, Berlin, Germany",Lexical,clay,tablet,56.0,29.0,36.0,,,"W 09656,x","Qa XVI,2","unter der Abgleichung der Schicht III, 1,5 m über der Höhe des Kalksteinsockels// (t.a.q. IIIc)",,,,,undetermined,,,,Q000002,,,,,,,0,,0,,0,,0,,"DCCLT; ARMEP","P000007; P000007","Archaic Lu2 A (witness) ",0,0,,,0,0,0,0,,
8,"VAT 17684","CDLI Lexical Archaic Unidentified, ex. 003",Englund1993ATU3,history,"pl. 85, W 11985,e",,"Uruk (mod. Warka)","Uruk III (ca. 3200-3000 BC)",,"Vorderasiatisches Museum, Berlin, Germany",Lexical,clay,tablet,39.0,9.0,26.0,,,"W 11985,e","Pb XVII,1","+19.50 m, 3 m nordwestlich vom Festpunkt 19.60",,,,,undetermined,,,,,,,,,,,0,,0,,0,,0,,"DCCLT; ARMEP","P000008; P000008","Archaic Unidentified (witness) ",0,0,,,0,0,0,0,,
9,"VAT 17702","CDLI Lexical 000002, ex. 160",Englund1993ATU3,history,"pl. 22, W 11985,f",,"Uruk (mod. Warka)","Uruk III (ca. 3200-3000 BC)",00.00.00.00,"Vorderasiatisches Museum, Berlin, Germany",Lexical,clay,tablet,54.0,0.0,46.0,,,"W 11985,f","Pb XVII,1","+19.50 m, 3 m nordwestlich vom Festpunkt 19.60",,,,,undetermined,,,,Q000002,,,,,,,0,,0,,0,,0,,"DCCLT; ARMEP","P000009; P000009","Archaic Lu2 A (witness) ",0,0,,,0,0,0,0,,
10,"VAT 17709","CDLI Lexical 000007, ex. 006",Englund1993ATU3,history,"pl. 26, W 11985,g",,"Uruk (mod. Warka)","Uruk III (ca. 3200-3000 BC)",,"Vorderasiatisches Museum, Berlin, Germany",Lexical,clay,tablet,23.0,19.0,25.0,,,"W 11985,g","Pb XVII,1","+19.50 m, 3 m nordwestlich vom Festpunkt 19.60",,,,,undetermined,,,,Q000007,,,,,,,0,,0,,0,,0,,"DCCLT; ARMEP","P000010; P000010","Archaic Officials (witness) ",0,0,,,0,0,0,0,,
